Timestamp,Gender,Nationality/Country of Origin,Which of the following qualifications best describes you?,Do you know how to use functions in R? ,"Do you already use the tidyverse packages in R such as dplyr, tidyr, tibble and ggplot2? ",Do you need to analyse large collections of related time series? ,"Would you like to learn how to use some tidy tools for time series analysis including visualization, decomposition and forecasting? ",Which of the two modes of learning will be suitable for you?
7/21/2023 19:15,Male,Malawian ,M and E officer ,Yes,Yes,Yes,Yes,Online
7/21/2023 19:16,Male,Malawi,Junior Researcher,No,No,Yes,Yes,Online
7/21/2023 19:16,Male,Malawian ,Junior Researcher,Yes,No,Yes,Yes,Physical
7/21/2023 19:21,Male,Malawi ,Undergraduate student ,No,No,No,No,Physical
7/21/2023 19:22,Male,Malawian,Junior Researcher,Yes,Yes,Yes,Yes,Online
7/21/2023 19:23,Male,Malawi,Junior Researcher,Yes,No,Yes,Yes,"Physical, Online"
7/21/2023 19:26,Male,Malawian/Malawi,MSc Student,No,No,Yes,Yes,Physical
7/21/2023 19:28,Male,Malawian,MSc Student,No,No,Yes,Yes,Online
7/21/2023 19:30,Male,Malawi ,MSc Student,No,No,Yes,Yes,Online
7/21/2023 19:37,Male,Malawi ,Junior Researcher,No,No,Yes,Yes,"Physical, Online"
7/21/2023 19:41,Male,Malawian,Junior Researcher,No,No,Yes,Yes,Online
7/21/2023 19:41,Male,Malawi,Junior Researcher,Yes,No,Yes,Yes,Online
7/21/2023 19:43,Male,Malawian ,Student ,No,No,Yes,Yes,Online
7/21/2023 19:44,Male,Malawi ,Junior Researcher,No,No,Yes,Yes,Online
7/21/2023 19:49,Male,Malawi,MSc Student,Yes,Yes,Yes,Yes,Physical
7/21/2023 19:54,Male,Malawian ,Junior Researcher,Yes,Yes,Yes,Yes,Physical
7/21/2023 20:07,Male,Malawi,Senior Researcher,No,No,Yes,Yes,Online
7/21/2023 20:08,Male,Malawi ,Junior Researcher,No,No,Yes,Yes,Online
7/21/2023 20:09,Female,Malawian,MSc Student,Yes,No,Yes,Yes,Online
7/21/2023 20:11,Male,Malawian/Malawi ,Junior Researcher,No,No,Yes,Yes,Online
7/21/2023 20:12,Female,Malawian,MSc Student,No,No,Yes,Yes,Physical
7/21/2023 20:12,Male,Malawian,Junior Researcher,No,No,Yes,Yes,Online
7/21/2023 20:12,Male,Malawi,Junior Researcher,Yes,No,Yes,Yes,Online
7/21/2023 20:17,Male,Malawian ,Student ,Yes,Yes,Yes,Yes,Online
7/21/2023 20:19,Male,Malawian ,MSc Student,No,No,Yes,Yes,Online
