SN,CARAT,cut,color,clarity,depth,table,price,x,y,z
1,1.03,Premium,G,VS2,62.3,59,6214,6.38,6.42,3.99
2,0.5,Fair,D,SI1,65.7,56,1323,5.01,4.97,3.28
3,1.74,Very Good,H,SI2,62.1,59,10086,7.65,7.78,4.79
4,0.51,Ideal,D,VS2,61.2,55,1882,5.18,5.16,3.16
5,0.7,Ideal,H,SI1,62.5,56,2294,5.64,5.69,3.54
6,0.71,Ideal,H,IF,62,54,3190,5.71,5.75,3.55
7,0.32,Very Good,E,SI1,63.3,55,672,4.36,4.33,2.75
8,0.9,Fair,G,I1,65.1,58,1939,6.05,5.99,3.92
9,0.32,Ideal,G,VVS2,61.6,56,708,4.42,4.44,2.73
10,1.52,Premium,G,VS2,62.6,55,12958,7.39,7.28,4.59
11,0.7,Premium,E,SI1,59.7,60,2394,5.81,5.79,3.46
12,2.12,Ideal,D,SI2,62.9,55,12707,8.17,8.14,5.13
13,0.4,Premium,F,SI1,61.2,58,945,4.74,4.71,2.89
14,0.33,Premium,E,SI1,60.2,58,743,4.55,4.49,2.72
15,1.02,Ideal,I,SI2,60.7,57,3856,6.57,6.54,3.98
16,0.54,Ideal,G,VVS2,61.8,56,1985,5.23,5.25,3.24
17,1,Fair,G,VS2,67.6,57,5484,6.2,6.13,4.17
18,0.58,Ideal,D,VVS1,61.6,60,3154,5.34,5.35,3.29
19,1.16,Ideal,G,VS2,60.7,58,7128,6.86,6.81,4.15
20,0.72,Very Good,E,SI2,63.5,59,2376,5.66,5.61,3.58
21,0.52,Premium,D,VS2,61.2,58,1919,5.2,5.16,3.17
22,0.4,Ideal,D,VS2,61.6,57,982,4.71,4.77,2.92
23,0.33,Ideal,G,VVS1,61.5,56,868,4.45,4.46,2.74
24,0.75,Good,E,SI2,62.3,58,2702,5.78,5.81,3.61
25,0.42,Ideal,E,SI2,62.9,56,898,4.8,4.77,3.01
26,0.44,Very Good,H,VVS1,63.1,56,1016,4.83,4.87,3.06
27,0.31,Premium,H,VS1,62.6,60,698,4.32,4.3,2.7
28,0.3,Ideal,E,VS1,62.5,56,778,4.3,4.28,2.68
29,1.35,Premium,J,VS2,60.5,56,6254,7.19,7.12,4.33
30,1.08,Premium,G,SI2,60.7,60,4318,6.64,6.61,4.02
31,0.7,Ideal,I,SI1,61.8,57,2436,5.67,5.72,3.52
32,0.31,Ideal,I,SI1,62.5,56,537,4.35,4.29,2.7
33,0.4,Ideal,E,VS2,62.4,56,975,4.74,4.71,2.95
34,0.61,Premium,F,SI1,60.4,56,1359,5.47,5.43,3.29
35,0.7,Very Good,D,VS2,63,56,2960,5.61,5.69,3.56
36,1.51,Good,E,VS2,62.6,60,14709,7.22,7.28,4.54
37,0.57,Premium,J,VS2,60.2,62,1176,5.4,5.33,3.23
38,1.14,Good,I,VS1,63.3,56,5056,6.6,6.68,4.2
39,1.5,Good,H,SI2,60.8,64,6846,7.27,7.2,4.4
40,1.07,Very Good,H,VS2,61.5,57,5254,6.57,6.63,4.06
41,1.01,Good,F,SI1,64.2,58,4276,6.33,6.31,4.06
42,1.24,Ideal,G,VVS2,61.4,58,10395,6.88,6.92,4.24
43,1.23,Ideal,F,VS2,62.4,54,10342,6.84,6.87,4.28
44,1.12,Ideal,D,VS2,62,55,8430,6.66,6.63,4.12
45,1.02,Premium,G,SI2,62.5,59,4370,6.42,6.37,4
46,1.02,Premium,F,SI2,60.2,61,4238,6.52,6.48,3.91
47,1.01,Good,G,SI1,59.8,61,5277,6.45,6.49,3.87
48,1.5,Ideal,F,VS2,60.2,57,13653,7.43,7.39,4.46
49,1.04,Ideal,H,VS2,60.7,56,5805,6.56,6.61,4
50,0.5,Premium,D,VS2,61.2,60,1752,5.08,5.12,3.12
51,0.71,Very Good,E,VS1,62.1,60,3192,5.65,5.71,3.53
52,2.01,Premium,F,SI2,62,60,11903,7.88,7.82,4.87
53,0.51,Ideal,I,VS1,62,57,1376,5.1,5.13,3.17
54,1,Premium,E,SI2,59.1,61,4077,6.44,6.39,3.79
55,0.33,Ideal,E,VS2,62.6,57,723,4.37,4.42,2.75
56,1.5,Fair,H,I1,65.7,58,4939,7.07,7.02,4.63
57,1.01,Ideal,G,SI1,61.5,56,4129,6.52,6.46,3.99
58,0.29,Ideal,F,SI2,60.6,59,496,4.31,4.37,2.63
59,0.57,Ideal,E,VS2,61.8,56,1949,5.33,5.29,3.28
60,1.21,Ideal,F,VS1,62.2,54.9,8629,6.79,6.84,4.24
61,0.43,Ideal,I,VVS1,61.1,57,916,4.86,4.9,2.98
62,0.72,Ideal,F,VS1,61.4,56,3759,5.75,5.79,3.54
63,1.54,Premium,I,SI1,60.8,61,8969,7.48,7.41,4.53
64,1.21,Premium,H,SI1,62.5,58,5948,6.75,6.72,4.21
65,0.54,Ideal,H,VS1,61.2,55,1454,5.25,5.31,3.23
66,1.71,Premium,H,SI1,62.8,58,12338,7.62,7.53,4.76
67,0.5,Premium,F,VS2,60.6,59,1433,5.13,5.03,3.08
68,0.41,Ideal,F,IF,62.3,55,1439,4.78,4.82,2.99
69,0.42,Ideal,D,VS1,62.3,57,1350,4.8,4.76,2.98
70,2.02,Very Good,J,SI2,59.2,60,11757,8.27,8.39,4.91
71,0.42,Very Good,F,VVS1,63,59,1154,4.75,4.81,3.01
72,0.3,Premium,E,VS2,62,59,844,4.31,4.27,2.66
73,0.28,Very Good,G,SI1,62,55,382,4.2,4.25,2.62
74,0.23,Very Good,E,VS1,59.5,58,402,4.01,4.06,2.4
75,2.08,Premium,H,SI2,58.8,60,14462,8.39,8.35,4.92
76,1.36,Premium,H,SI2,60.1,56,5103,7.23,7.18,4.38
77,1.53,Premium,G,SI2,61.3,59,8799,7.49,7.43,4.57
78,0.44,Ideal,G,SI1,61.1,56,813,4.92,4.94,3.01
79,1.01,Ideal,D,VS2,62.7,57,7792,6.39,6.36,4
80,0.71,Premium,D,VVS1,58.8,58,3952,5.89,5.81,3.44
81,1.01,Premium,E,SI1,62.4,59,5430,6.38,6.35,3.97
82,0.42,Premium,G,VS1,60.8,59,921,4.79,4.85,2.93
83,2,Good,D,SI2,63.8,57,10528,7.93,7.88,5.04
84,0.51,Ideal,I,VVS2,62.5,54.3,1316,5.09,5.12,3.19
85,0.91,Fair,D,SI1,64.4,60,3855,6.08,6.04,3.9
86,2,Premium,F,SI2,61.5,59,11413,8.03,7.95,4.92
87,0.71,Good,E,SI1,63.8,54,2606,5.66,5.72,3.63
88,0.62,Premium,G,VS1,59.8,58,1933,5.55,5.58,3.33
89,0.7,Premium,I,SI2,62.4,58,1890,5.68,5.64,3.53
90,1.28,Premium,H,SI2,62.4,56,4588,6.97,6.89,4.34
91,0.59,Ideal,D,IF,60.7,58,4161,5.45,5.49,3.32
92,0.31,Ideal,G,IF,62.2,55,891,4.35,4.4,2.72
93,1.04,Very Good,F,VS1,63.2,57,7534,6.44,6.41,4.06
94,0.38,Premium,H,VS2,60.6,58,898,4.7,4.68,2.84
95,1.01,Very Good,G,VS1,63.6,57,6905,6.3,6.35,4.02
96,1.2,Premium,J,SI1,60,61,4717,6.89,6.84,4.12
97,0.4,Ideal,D,VVS1,62.8,57,1279,4.65,4.68,2.93
98,1.08,Premium,I,SI2,60.1,59,3750,6.75,6.69,4.04
99,2.02,Premium,J,VS2,62,59,13687,8.06,8.08,5
100,2.02,Ideal,G,SI2,62,55,18296,8.16,8.1,5.04
