Blocks,cultivar,seedchem,response
1,vicland1,control,42.9
2,vicland1,control,41.6
3,vicland1,control,28.9
4,vicland1,control,30.8
1,vicland2,control,53.3
2,vicland2,control,69.6
3,vicland2,control,45.4
4,vicland2,control,35.1
1,clinton,control,62.3
2,clinton,control,58.3
3,clinton,control,44.6
4,clinton,control,50.3
1,Branch,control,75.4
2,Branch,control,65.6
3,Branch,control,54
4,Branch,control,52.7
1,vicland1,ceresan,53.8
2,vicland1,ceresan,58.5
3,vicland1,ceresan,43.9
4,vicland1,ceresan,46.3
1,vicland2,ceresan,59.6
2,vicland2,ceresan,69.6
3,vicland2,ceresan,42.4
4,vicland2,ceresan,51.9
1,clinton,ceresan,63.4
2,clinton,ceresan,50.4
3,clinton,ceresan,45
4,clinton,ceresan,46.7
1,Branch,ceresan,70.3
2,Branch,ceresan,67.3
3,Branch,ceresan,57.6
4,Branch,ceresan,58.5
1,vicland1,panoge,49.5
2,vicland1,panoge,53.8
3,vicland1,panoge,45.7
4,vicland1,panoge,39.4
1,vicland2,panoge,59.4
2,vicland2,panoge,65.8
3,vicland2,panoge,41.4
4,vicland2,panoge,45.4
1,clinton,panoge,64.5
2,clinton,panoge,46.1
3,clinton,panoge,62.6
4,clinton,panoge,50.3
1,Branch,panoge,58.8
2,Branch,panoge,65.3
3,Branch,panoge,45.6
4,Branch,panoge,51
1,vicland1,Agrox,44.4
2,vicland1,Agrox,41.8
3,vicland1,Agrox,28.3
4,vicland1,Agrox,34.7
1,vicland2,Agrox,64.1
2,vicland2,Agrox,57.4
3,vicland2,Agrox,44.1
4,vicland2,Agrox,51.6
1,clinton,Agrox,63.6
2,clinton,Agrox,56.1
3,clinton,Agrox,52.7
4,clinton,Agrox,51.8
1,Branch,Agrox,71.6
2,Branch,Agrox,69.4
3,Branch,Agrox,56.6
4,Branch,Agrox,47.4
