Block,Date,Variety,Yield
1,A,1,2.17
1,B,1,1.58
1,C,1,2.29
1,D,1,2.23
1,A,2,2.33
1,B,2,1.38
1,C,2,1.86
1,D,2,2.27
1,A,3,1.75
1,B,3,1.52
1,C,3,1.55
1,D,3,1.56
2,A,1,1.88
2,B,1,1.26
2,C,1,1.6
2,D,1,2.01
2,A,2,2.01
2,B,2,1.3
2,C,2,1.7
2,D,2,1.81
2,A,3,1.95
2,B,3,1.47
2,C,3,1.61
2,D,3,1.72
3,A,1,1.62
3,B,1,1.22
3,C,1,1.67
3,D,1,1.82
3,A,2,1.7
3,B,2,1.85
3,C,2,1.81
3,D,2,2.01
3,A,3,2.13
3,B,3,1.9
3,C,3,1.82
3,D,3,1.99
4,A,1,2.34
4,B,1,1.59
4,C,1,1.91
4,D,1,2.1
4,A,2,1.78
4,B,2,1.09
4,C,2,1.54
4,D,2,1.4
4,A,3,1.78
4,B,3,1.37
4,C,3,1.56
4,D,3,1.55
5,A,1,1.58
5,B,1,1.25
5,C,1,1.39
5,D,1,1.66
5,A,2,1.42
5,B,2,1.13
5,C,2,1.67
5,D,2,1.31
5,A,3,1.31
5,B,3,1.01
5,C,3,1.23
5,D,3,1.51
6,A,1,1.66
6,B,1,0.94
6,C,1,1.12
6,D,1,1.1
6,A,2,1.35
6,B,2,1.06
6,C,2,0.88
6,D,2,1.06
6,A,3,1.3
6,B,3,1.31
6,C,3,1.12
6,D,3,1.33
